word	anger	anticipation	disgust	fear	joy	sadness	surprise	trust
immerse	0	0.586	0	0.266	0.258	0	0.266	0.469
regretting	0	0	0	0	0	0.688	0	0
gentleman	0	0	0	0	0	0	0	0.656
wither	0	0	0	0	0	0.516	0	0
watchdog	0	0	0	0	0	0	0	0.578
bier	0	0	0	0.422	0	0.500	0	0
popularity	0	0	0	0	0	0	0	0.492
cough	0	0	0.469	0	0	0	0	0
unsettled	0.344	0	0.336	0.327	0	0	0	0
cantbreathe	0	0	0	0.641	0	0	0	0
holidays	0	0	0	0	0.721	0	0	0
magnificence	0	0.570	0	0	0.797	0	0	0.609
invite	0	0.570	0	0	0.457	0	0.266	0.430
grumpy	0.328	0	0.305	0	0	0.281	0	0
erratic	0	0	0	0	0	0	0.750	0
hide	0	0	0	0.297	0	0	0	0
raptors	0	0	0	0.641	0	0	0	0
kerosene	0	0	0	0.375	0	0	0	0
perpetuity	0	0.453	0	0	0	0	0	0.516
decomposed	0	0	0	0	0	0.672	0	0
rampage	0.833	0	0	0.781	0	0	0	0
depreciate	0.315	0	0.344	0	0	0	0	0
dislike	0.469	0	0.406	0	0	0	0	0
fainting	0	0	0	0.422	0	0.359	0.500	0
onerous	0.406	0	0	0	0	0.223	0	0
haggard	0	0	0	0	0	0.587	0	0
unsuspecting	0	0	0	0	0	0	0.648	0
petpeeve	0.375	0	0	0	0	0	0	0
regret	0	0	0	0	0	0.625	0	0
animus	0.500	0	0	0	0	0	0	0
amen	0	0	0	0	0.424	0	0	0.516
horrible	0.742	0	0.656	0.734	0	0	0	0
gall	0.470	0	0.305	0	0	0	0	0
slut	0.578	0	0.703	0	0	0	0	0
unforeseen	0	0	0	0	0	0	0.703	0
grievous	0.632	0	0	0.516	0	0.704	0	0
suspension	0	0	0	0.422	0	0	0	0
lumpy	0	0	0.336	0	0	0	0	0
seize	0	0	0	0.625	0	0	0	0
happyplace	0	0	0	0	0.875	0	0	0
neutral	0	0.148	0	0	0.114	0	0	0.398
rule	0	0	0	0.188	0	0	0	0.430
uphill	0	0.500	0	0.203	0	0	0	0
feelingdown	0	0	0	0	0	0.672	0	0
wondrous	0	0	0	0	0	0	0.586	0
destination	0	0.703	0	0.109	0.281	0.170	0.148	0
expose	0	0.562	0	0.375	0	0	0	0
carl	0	0	0	0	0	0	0	0.297
overbearing	0.547	0	0	0	0	0	0	0
circle	0	0	0	0	0	0	0	0.430
debacle	0	0	0	0.438	0	0.609	0	0
morbid	0	0	0	0	0	0.828	0	0
oneday	0	0	0	0	0.197	0	0	0
zeal	0	0.500	0	0	0.547	0	0.484	0.328
pious	0	0	0.445	0	0	0.219	0	0.500
untie	0	0	0	0	0.109	0	0	0
delirium	0	0	0.508	0	0	0.576	0	0
